,name,city,income,credit_score,loan_amount,years_employed,points,loan_approved
0,Allison Hill,East Jill,113810,389,39698,27,50.0,False
1,Brandon Hall,New Jamesside,44592,729,15446,28,55.0,False
2,Rhonda Smith,Lake Roberto,33278,584,11189,13,45.0,False
3,Gabrielle Davis,West Melanieview,127196,344,48823,29,50.0,False
4,Valerie Gray,Mariastad,66048,496,47174,4,25.0,False
5,Darren Roberts,Port Jesseville,62098,689,19217,29,65.0,True
6,Holly Wood,Lake Joseph,59256,373,40920,40,35.0,False
7,Nicholas Martin,Nelsonside,48289,524,45866,20,25.0,False
8,Patty Perez,Port Leslieview,126530,367,14826,36,55.0,False
9,Emily Rios,Wilkersonmouth,43434,446,18359,8,20.0,False
10,Justin Baker,Hurstfurt,118696,670,15373,8,75.0,True
11,Ann Williams,East Courtneychester,127080,365,26216,24,55.0,False
12,Julie King,Lake Jenniferside,146939,573,43006,21,50.0,False
13,Jeffrey Chavez,Teresaburgh,101482,819,7973,40,100.0,True
14,Mark Lynch,West Kathryn,41395,843,1037,38,80.0,True
15,Alec Hickman,Johnbury,107397,380,6613,31,60.0,True
16,Vanessa Patel,East Donna,85302,469,18370,33,50.0,False
17,Jenny Lewis,Lake Larry,34165,682,29711,33,50.0,False
18,David Brown,New Angelashire,33905,525,1471,4,30.0,False
19,Amy Jones,Port Markhaven,42280,543,19250,31,25.0,False
20,Carlos Walls,Sanchezfort,58657,716,13478,6,65.0,True
21,Jeffrey Henderson,Shieldston,60495,400,4972,25,50.0,False
22,Rebecca Rodriguez,East Amanda,96237,443,28648,11,45.0,False
23,David Leblanc,Mortonside,108907,400,4315,34,60.0,True
24,Tracy House,East Richard,33478,792,15008,25,60.0,True
25,Carmen Smith,Bakermouth,103563,592,28722,35,65.0,True
26,Katelyn Lee,North Beth,56062,362,21552,3,30.0,False
27,John Calhoun,North Susan,123850,382,13178,4,45.0,False
28,Megan Young,New Johnton,115181,383,28474,37,55.0,False
29,Emily Green,Johnfurt,121924,434,45019,19,50.0,False
30,Timothy Walls,South Christineshire,101426,402,5801,34,60.0,True
31,Derek Mahoney,East Mikeburgh,84987,748,36600,19,75.0,True
32,Victoria Valdez,Lake Lisaport,58893,406,9800,16,45.0,False
33,Brian Tran,Juanborough,88878,651,14342,40,65.0,True
34,Kathy King,North Cynthiaview,107236,345,1232,21,60.0,True
35,Mandy Green,Arnoldchester,66463,309,8331,4,35.0,False
36,Melissa Hernandez,Port Mikeside,136093,451,29166,8,50.0,False
37,Jacob Fitzpatrick,West Jasonbury,143940,405,24178,35,55.0,False
38,Jennifer Oliver,East Michelle,30851,481,28020,1,10.0,False
39,Tim Patton,Phambury,129458,573,11433,6,55.0,False
40,Andrew Ruiz,Port Samantha,135620,658,21000,14,70.0,True
41,Matthew Ross,Michelleview,50926,659,43040,32,50.0,False
42,William Herrera,North Natalieview,121506,482,39049,16,50.0,False
43,Kyle Reed,Samuelhaven,85392,418,26244,36,45.0,False
44,Andrew Graham,West Ryan,74597,638,41839,20,50.0,False
45,Belinda Mccullough,Elizabethmouth,66421,712,46692,18,60.0,True
46,Cheryl Ortega,Byrdburgh,50379,608,27612,35,50.0,False
47,Elizabeth Clark,Stevenmouth,58221,518,34500,30,35.0,False
48,Toni Fitzgerald,West Zacharymouth,130072,395,16392,19,55.0,False
49,Curtis Johnson,South Cheryl,74118,374,30846,26,35.0,False
50,Laura Higgins,Snyderbury,43396,451,43995,0,10.0,False
51,Shannon Mcclure,Robinsonhaven,42156,775,4291,35,70.0,True
52,Ryan Bryant,Contrerasside,79797,624,30004,39,60.0,True
53,Stephanie Simmons,Merrittfort,42676,760,17986,15,60.0,True
54,Destiny Strickland,Simsview,77052,750,6077,18,90.0,True
55,George Orozco,East Edwardfurt,141082,456,47295,13,50.0,False
56,Jason Daniels,Brownchester,75082,698,39278,1,50.0,False
57,Pamela James,West Kennethfurt,109131,729,36272,34,75.0,True
58,Stephanie Freeman,Ryantown,64671,698,23028,25,65.0,True
59,Sara Calhoun,South Brittanytown,135791,385,43123,27,50.0,False
60,Joel Williams,Murphymouth,35695,634,23118,24,40.0,False
61,Trevor Fisher,South Andrewside,125647,353,23935,14,55.0,False
62,Rachael Pearson,East Jamestown,90217,456,16633,8,45.0,False
63,Brian Gould,Lyonsstad,100284,471,40707,38,45.0,False
64,Michelle Strickland,West Daniel,46361,326,21444,36,25.0,False
65,Tina Sanders,North Brittany,79615,548,7678,19,55.0,False
66,Lindsay Martinez,West Amandastad,40328,370,34158,21,25.0,False
67,Jason Henry,Yumouth,102357,456,29540,11,50.0,False
68,Tracie Nelson,Marshallshire,68427,574,22122,15,40.0,False
69,Angelica Keith,Port Steven,138711,688,23046,1,65.0,True
70,Frederick Freeman MD,Matthewview,112397,310,34857,12,50.0,False
71,Nathan Freeman,Lake Thomas,111070,802,30371,1,75.0,True
72,Daniel Holt,Elizabethstad,146057,784,37272,33,85.0,True
73,Zachary Pierce,Jacquelineview,142945,613,17475,14,70.0,True
74,Corey Wilson,East Javier,77400,795,19120,37,85.0,True
75,Kelly Campbell,Port Jamesbury,105674,669,12759,19,70.0,True
76,Joseph Hill,New Kellyberg,55203,802,7723,0,70.0,True
77,Julie Alexander,North Johnny,122349,789,8476,4,85.0,True
78,Benjamin Soto,East Edwardshire,39116,611,6582,15,50.0,False
79,Phillip Obrien,Port Alexandra,36006,761,30014,19,60.0,True
80,Wanda Torres,New Susanville,116673,512,41993,13,50.0,False
81,Brad Allen,East Aaronmouth,59871,781,20087,2,65.0,True
82,Michael Warner,Jonesbury,131327,570,41963,37,50.0,False
83,Taylor Coleman,Lake Edward,67930,572,10321,4,35.0,False
84,Ricky Larson,Scottmouth,40458,611,46857,25,40.0,False
85,Kathryn Snyder,New Billchester,142108,630,40564,16,65.0,True
86,Darryl Craig,Port Emilyview,60512,341,12481,30,45.0,False
87,Jessica Ramirez,Waltersfort,143571,393,31802,22,55.0,False
88,Frank Garcia,West Robert,43238,807,19888,25,65.0,True
89,Krista Gibson,Johnnyville,79823,713,34724,0,50.0,False
90,Kimberly Gutierrez,New Michael,66434,810,41986,28,75.0,True
91,Christina Dunn,Samuelfort,89429,424,2891,40,55.0,False
92,Cynthia Moore,New Rickybury,113320,416,31241,7,45.0,False
93,Brittany Cantu,Williamview,139328,725,32621,30,80.0,True
94,Juan Reyes,Port Chad,77819,724,23274,32,70.0,True
95,Aaron Barber,Grimesmouth,51319,795,23618,21,70.0,True
96,Kimberly Gibson,Mollybury,78520,692,16306,26,75.0,True
97,Patrick Thornton,Hughesberg,76566,807,3426,8,90.0,True
98,Leslie Kane,Garciamouth,57460,315,48346,9,30.0,False
99,Matthew Moore,Harringtonview,117841,646,41845,25,65.0,True
100,Sarah Phelps,Finleyfort,64993,336,41465,4,25.0,False
101,Michael Mitchell,Lake Christopher,121988,400,42533,6,45.0,False
102,Michael Berger,West Lauraport,119593,667,25565,27,70.0,True
103,Joseph Knight,East Gregory,114939,691,41613,15,75.0,True
104,Mr. David Little MD,Port Stevenport,39358,461,5840,28,35.0,False
105,Victoria Evans,Vaughnmouth,109840,609,14055,24,70.0,True
106,Ashley James,Baileyport,113227,322,44137,25,50.0,False
107,Keith Jennings,New Julieport,52431,535,40784,22,35.0,False
108,Connor King,Lake Colton,100010,340,21246,28,55.0,False
109,Jacob Anderson,Markchester,125568,479,14159,8,50.0,False
110,Sherri Diaz,Mariaview,62087,793,20342,21,75.0,True
111,Julie Jones,Port Erica,51417,706,37524,23,60.0,True
112,James Baker,South Miguelview,90589,690,42847,23,65.0,True
113,David Johnson,Rosebury,79735,364,42641,29,40.0,False
114,Elizabeth Ortiz,North Sophia,65382,611,33284,7,45.0,False
115,Stephen Taylor,Watsonside,113886,729,39491,9,70.0,True
116,Mary Bass,Crosbyview,120198,333,46238,23,50.0,False
117,Jeremy Young,Corystad,103000,667,4968,25,75.0,True
118,Walter Rush,Davisborough,58785,321,4314,21,50.0,False
119,Cameron Cunningham,Port Kathyborough,119733,521,16269,21,55.0,False
120,Rachel Carlson,Micheleberg,72504,433,36403,16,35.0,False
121,Ashley Delacruz,North Michael,140474,543,39591,20,50.0,False
122,Derek Martinez,Foxland,130704,787,30378,23,90.0,True
123,Ashley Gordon,Lake Kristahaven,131711,608,31018,1,55.0,False
124,John Morales,South Jennifermouth,37331,375,6294,20,35.0,False
125,Ana Hill,Oscarhaven,60021,601,30734,32,50.0,False
126,Annette Miles,South Shannon,137715,533,28119,21,55.0,False
